Sr.No,Round�??,Institute�??,Program�??,Stream�??,Quota�??,Category�??,Seat Gender�??,Opening Rank�??,Closing Rank�??,Remark�??
175,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,137745,153029,Fresh Only
176,Round 1,LLOYD INSTITUTE OF ENGINEERING AND TECHNOLOGY,Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,998685,1301639,Fresh Only
177,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electronics and Communication Engineering,B.Tech,Home State,SC(Girl),Female Seats,297808,311699,Fresh Only
178,Round 1,"ALIGARH COLLEGE OF ENGG. & TECH,ALIGARH",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,757232,843219,Fresh Only
179,Round 1,"JMS INSTITUTE OF TECHNOLOGY, GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,769008,1466634,Fresh Only
180,Round 1,"UNITED COLLEGE OF ENGINEERING & RESEARCH,ALLAHABAD",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,336143,470537,Fresh Only
181,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,BC(Girl),Female Seats,267951,351165,Fresh Only
182,Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,453404,1306350,Fresh Only
183,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering (Artificial Intelligence & data Science),B.Tech,Home State,OPEN,Both Male and Female Seats,105567,277193,Fresh Only
184,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,823517,987173,Fresh Only
185,Round 1,"SAMRAT ASHOK RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,754624,1231501,Fresh Only
186,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,170753,195474,Fresh Only
187,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC,Both Male and Female Seats,35744,43739,Fresh Only
188,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,995370,1286286,Fresh Only
189,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Mechanical Engineering,B.Tech,Home State,SC(Girl),Female Seats,1165431,1165431,Fresh Only
190,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electrical Engineering,B.Tech,Home State,ST,Both Male and Female Seats,894556,894556,Fresh Only
191,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science (Hindi) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,198515,214036,Fresh Only
192,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Internet Of Things),B.Tech,Home State,SC,Both Male and Female Seats,807502,807502,Fresh Only
193,Round 1,"M. J. P. Ruhelkhand University, Bareilly",Electronics Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,544493,558329,Fresh Only
194,Round 1,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,241890,904703,Fresh Only
195,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Computer Science Engineering,B.Tech,Home State,SC,Both Male and Female Seats,305371,676986,Fresh Only
196,Round 1,"CENTRE FOR ADVANCE STUDIES,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,86840,90426,Fresh Only
197,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,B.Tech,Home State,BC(Girl),Female Seats,1175332,1393863,Fresh Only
198,Round 1,"ASHOKA INSTITUTE OF TECHNOLOGY & MANAGEMENT,VARANASI",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,422861,473978,Fresh Only
199,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Civil Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,210459,210459,Fresh Only
200,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,790117,886969,Fresh Only
201,Round 1,"ALLENHOUSE INSTITUTE OF TECHNOLOGY,KANPUR",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1466028,1466028,Fresh Only
202,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,434741,435694,Fresh Only
203,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,SITAPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,132302,629939,Fresh Only
204,Round 1,"AXIS INSTITUTE OF TECHNOLOGY & MANAGEMENT,KANPUR",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,517536,869377,Fresh Only
205,Round 1,"FEROZE GANDHI INSTITUTE OF ENGG AND TECHNOLOGY, RAIBAREILLY",Aeronautical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,562831,562831,Fresh Only
206,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,232888,268969,Fresh Only
207,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),B.Tech,Home State,EWS(GL),Female Seats,193164,218573,Fresh Only
208,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1188702,1188702,Fresh Only
209,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC(PH),Both Male and Female Seats,134244,134244,Fresh Only
210,Round 1,"HINDUSTAN COLLEGE OF SCIENCE & TECHNOLOGY,MATHURA",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,123569,1287528,Fresh Only
211,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC,Both Male and Female Seats,237907,773105,Fresh Only
212,Round 1,"Lucknow University, Lucknow",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,212054,222610,Fresh Only
213,Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,375592,524797,Fresh Only
214,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,722606,1277546,Fresh Only
215,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Artificial Intelligence And Machine Learning,B.Tech,Home State,SC,Both Male and Female Seats,368044,556388,Fresh Only
216,Round 1,"Bundelkhand University, Jhansi",Biomedical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1171763,1171763,Fresh Only
217,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(AF),Both Male and Female Seats,214279,214279,Fresh Only
218,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,247531,471168,Fresh Only
219,Round 1,"Bundelkhand University, Jhansi",Food Engineering & technology,B.Tech,Home State,OPEN(GIRL),Female Seats,826372,923603,Fresh Only
220,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,332749,464465,Fresh Only
221,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics Engineering (VLSI Design and Technology),B.Tech,Home State,OPEN,Both Male and Female Seats,413991,781753,Fresh Only
222,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1234360,1386500,Fresh Only
223,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,183110,848271,Fresh Only
224,Round 1,"DR.M.C.SAXENA COLLEGE OF ENGG. & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,161090,1401228,Fresh Only
225,Round 1,"MORADABAD INSTITUTE OF TECHNOLOGY,MORADABAD",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,337074,1450500,Fresh Only
226,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Mechanical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,139223,148567,Fresh Only
227,Round 1,"INDERPRASTHA ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,1119955,1275634,Fresh Only
228,Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,486673,511439,Fresh Only
229,Round 1,"KASHI INSTITUTE OF TECHNOLOGY,VARANASI",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,116181,1297655,Fresh Only
